creationDate,fuelType,mainProvince,make,model,price,km,title,url,seller_name,seller_isProfessional,first_seen,last_seen
2026-01-02T13:18:04Z,Diésel,Madrid,LAND-ROVER,Discovery,26900,158000,LAND-ROVER Discovery 3.0 TD6 First Edition Auto,https://www.coches.net/land-rover-discovery-30-td6-190kw-258cv-first-edition-auto-5p-diesel-2018-en-madrid-62332346-covo.aspx,,False,2026-02-23,2026-02-23
2026-01-21T09:03:40Z,Diésel,Madrid,JEEP,Wrangler,41500,76000,JEEP Wrangler 2.8 CRD Rubicon Auto,https://www.coches.net/jeep-wrangler-28-crd-rubicon-auto-2p-diesel-2012-en-madrid-62454610-covo.aspx,,False,2026-02-23,2026-02-23
2026-02-09T23:44:42Z,Eléctrico,Madrid,TOYOTA,BZ4X,39973,0,TOYOTA BZ4X 250E 4x2 Advance,https://www.coches.net/km-0/toyota/bz4x/madrid/nuevo-250e-4x2-advance-electrico-hibrido-62606222-nuvn.aspx,"Motor Arjona, S.L.",True,2026-02-23,2026-02-23
2026-02-06T18:24:58Z,Híbrido,Madrid,VOLVO,XC40,36500,23,VOLVO XC40 2.0 B3 G Core Auto,https://www.coches.net/km-0/volvo/xc40/madrid/20-b3-g-core-auto-electrico-hibrido-de-km0-62584582-kovn.aspx,Auto Elia,True,2026-02-23,2026-02-23
2025-11-06T09:38:29Z,Gasolina,Madrid,DACIA,Sandero,8199,100626,DACIA Sandero Essential 1.0,https://www.coches.net/dacia-sandero-essential-10-55kw-75cv-5p-gasolina-2020-en-madrid-61908227-covo.aspx,Autohero Center Madrid,True,2026-02-23,2026-02-23
2025-09-27T12:49:17Z,Gasolina,Alicante,PEUGEOT,5008,15700,114000,PEUGEOT 5008 1.2 PureTech SS Active Pack,https://www.coches.net/peugeot-5008-12-puretech-96kw-ss-active-pack-5p-gasolina-2020-en-alicante-61577780-covo.aspx,GAS MOTOR GALLERY,True,2026-02-23,2026-02-23
2025-12-09T16:17:31Z,Híbrido enchufable,Madrid,LYNK & CO,01,34200,10223,LYNK & CO 01 1.5 PHEV More,https://www.coches.net/lynk--co-01-15-phev-more-5p-electrico-hibrido-2025-en-madrid-62176893-covo.aspx,Volvo Ocasión Ditevo Madrid,True,2026-02-23,2026-02-23
2025-12-12T13:22:40Z,Híbrido enchufable,Madrid,VOLVO,XC90,71900,23851,VOLVO XC90 2.0 T8 AWD Plus Dark Recharge Auto,https://www.coches.net/volvo-xc90-20-t8-awd-plus-dark-recharge-auto-5p-electrico-hibrido-2025-en-madrid-62204061-covo.aspx,Volvo Ocasión Ditevo Madrid,True,2026-02-23,2026-02-23
2025-12-16T12:37:41Z,Diésel,Madrid,SEAT,León,9470,257000,SEAT León 1.6 TDI StSp Style,https://www.coches.net/seat-leon-16-tdi-85kw-115cv-stsp-style-5p-diesel-2020-en-madrid-62231662-covo.aspx,AutoPrime,True,2026-02-23,2026-02-23
2025-12-23T13:55:09Z,Híbrido,Madrid,MAZDA,CX-30,26990,7619,MAZDA CX-30 eSKY G MHEV 6AT Exclusiveline,https://www.coches.net/mazda-cx-30-esky-g-mhev-90kw-6at-exclusiveline-5p-electrico-hibrido-2024-en-madrid-62282935-covo.aspx,Mogacar Mazda Concesionario Oficial,True,2026-02-23,2026-02-23
2025-12-24T09:45:29Z,Diésel,Madrid,SEAT,Ibiza,8750,189000,SEAT Ibiza 1.6 TDI Reference,https://www.coches.net/seat-ibiza-16-tdi-70kw-95cv-reference-5p-diesel-2020-en-madrid-62287814-covo.aspx,AutoPrime,True,2026-02-23,2026-02-23
2025-12-24T11:42:00Z,Gasolina,Madrid,SEAT,Ibiza,7470,199000,SEAT Ibiza 1.2 TSI Style,https://www.coches.net/seat-ibiza-12-tsi-90cv-style-5p-gasolina-2017-en-madrid-62289026-covo.aspx,AutoPrime,True,2026-02-23,2026-02-23
2025-12-24T13:37:50Z,Diésel,Madrid,SKODA,Rapid,7470,239000,SKODA Rapid 1.6 TDI CR Style,https://www.coches.net/skoda-rapid-16-tdi-cr-85kw-115cv-style-5p-diesel-2018-en-madrid-62289802-covo.aspx,AutoPrime,True,2026-02-23,2026-02-23
2025-12-29T18:59:27Z,Híbrido enchufable,Madrid,LYNK & CO,01,33900,12638,LYNK & CO 01 1.5 PHEV More,https://www.coches.net/lynk--co-01-15-phev-more-5p-electrico-hibrido-2025-en-madrid-62312694-covo.aspx,Volvo Ocasión Ditevo Madrid,True,2026-02-23,2026-02-23
2025-12-31T19:44:22Z,Híbrido enchufable,Madrid,MERCEDES-BENZ,GLC Coupé,36999,100000,MERCEDES-BENZ GLC Coupé GLC 350 e 4MATIC,https://www.coches.net/mercedes-benz-glc-coupe-glc-350-e-4matic-5p-electrico-hibrido-2017-en-madrid-62325761-covo.aspx,Automóviles RizAuto,True,2026-02-23,2026-02-23
2025-12-31T19:47:40Z,Diésel,Madrid,PEUGEOT,5008,16999,180000,PEUGEOT 5008 GTLine 2.0L BlueHDi SS,https://www.coches.net/peugeot-5008-gtline-20l-bluehdi-110kw-150cv-ss-5p-diesel-2017-en-madrid-62325768-covo.aspx,Automóviles RizAuto,True,2026-02-23,2026-02-23
2025-12-31T19:54:05Z,Híbrido,Madrid,VOLVO,XC60,25999,179000,VOLVO XC60 2.0 B4 D Momentum Auto,https://www.coches.net/volvo-xc60-20-b4-d-momentum-auto-5p-electrico-hibrido-2022-en-madrid-62325784-covo.aspx,Automóviles RizAuto,True,2026-02-23,2026-02-23
2026-01-05T22:19:03Z,Diésel,Alicante,AUDI,Q5,23250,129000,AUDI Q5 Advanced 2.0 TDI quattro S tronic,https://www.coches.net/audi-q5-advanced-20-tdi-140kw-quattro-s-tronic-5p-diesel-2018-en-alicante-62348017-covo.aspx,GAS MOTOR GALLERY,True,2026-02-23,2026-02-23
2026-01-11T20:35:58Z,Gasolina,Alicante,BMW,X3,18950,98000,BMW X3 xDrive20i,https://www.coches.net/bmw-x3-xdrive20i-5p-gasolina-2017-en-alicante-62382540-covo.aspx,GAS MOTOR GALLERY,True,2026-02-23,2026-02-23
2026-01-13T19:09:58Z,Diésel,Madrid,SEAT,Ibiza,9470,148000,SEAT Ibiza 1.6 TDI Reference,https://www.coches.net/seat-ibiza-16-tdi-70kw-95cv-reference-5p-diesel-2020-en-madrid-62400657-covo.aspx,AutoPrime,True,2026-02-23,2026-02-23
2026-01-14T10:31:15Z,Gasolina,Alicante,MERCEDES-BENZ,Clase E,23450,89000,MERCEDES-BENZ Clase E Cabrio E 200,https://www.coches.net/mercedes-benz-clase-e-cabrio-e-200-2p-gasolina-2016-en-alicante-62404015-covo.aspx,GAS MOTOR GALLERY,True,2026-02-23,2026-02-23
2026-01-17T15:08:25Z,Gasolina,Alicante,PORSCHE,Boxster,23490,138000,PORSCHE Boxster 2.7,https://www.coches.net/porsche-boxster-27-2p-gasolina-2005-en-alicante-62430443-covo.aspx,GAS MOTOR GALLERY,True,2026-02-23,2026-02-23
2026-01-20T19:44:12Z,Gasolina,Madrid,SEAT,Ibiza,7470,199000,SEAT Ibiza 1.0 EcoTSI Style,https://www.coches.net/seat-ibiza-10-ecotsi-95cv-style-5p-gasolina-2016-en-madrid-62452758-covo.aspx,AutoPrime,True,2026-02-23,2026-02-23
2026-01-20T20:41:28Z,Gasolina,Madrid,SEAT,León,7970,215000,SEAT León 1.2 TSI StSp ITech,https://www.coches.net/seat-leon-12-tsi-110cv-stsp-itech-5p-gasolina-2015-en-madrid-62453179-covo.aspx,AutoPrime,True,2026-02-23,2026-02-23
2026-01-22T10:44:24Z,Híbrido enchufable,Madrid,VOLVO,XC40,24900,116000,VOLVO XC40 1.5 T5 Twin Recharge Inscription Ex Auto,https://www.coches.net/volvo-xc40-15-t5-twin-recharge-inscription-ex-auto-5p-electrico-hibrido-2022-en-madrid-62464315-covo.aspx,Auto Sport Moraleja,True,2026-02-23,2026-02-23
2026-01-22T10:46:16Z,Diésel,Madrid,BMW,X4,34900,108400,BMW X4 xDrive20d,https://www.coches.net/bmw-x4-xdrive20d-5p-diesel-2020-en-madrid-62464459-covo.aspx,Auto Sport Moraleja,True,2026-02-23,2026-02-23
2026-01-22T14:04:55Z,Diésel,Madrid,SEAT,León,12970,159000,SEAT León 2.0 TDI SS Style,https://www.coches.net/seat-leon-20-tdi-85kw-ss-style-5p-diesel-2021-en-madrid-62466574-covo.aspx,AutoPrime,True,2026-02-23,2026-02-23
2026-01-22T14:39:04Z,Gasolina,Madrid,SEAT,León,6970,269000,SEAT León 1.2 TSI StSp Reference,https://www.coches.net/seat-leon-12-tsi-105cv-stsp-reference-5p-gasolina-2014-en-madrid-62466774-covo.aspx,AutoPrime,True,2026-02-23,2026-02-23
2026-01-24T13:46:09Z,Híbrido enchufable,Madrid,VOLVO,XC90,72900,23361,VOLVO XC90 2.0 T8 AWD Plus Dark Recharge Auto,https://www.coches.net/volvo-xc90-20-t8-awd-plus-dark-recharge-auto-5p-electrico-hibrido-2025-en-madrid-62480659-covo.aspx,Volvo Ocasión Ditevo Madrid,True,2026-02-23,2026-02-23
2026-01-27T10:49:12Z,Diésel,Madrid,AUDI,A4,20900,178400,AUDI A4 S line 35 TDI S tronic,https://www.coches.net/audi-a4-s-line-35-tdi-120kw-163cv-s-tronic-4p-diesel-2021-en-madrid-62497903-covo.aspx,Auto Sport Moraleja,True,2026-02-23,2026-02-23
2026-01-28T11:32:06Z,Diésel,Madrid,PEUGEOT,Rifter,18990,20221,PEUGEOT Rifter Active Pack Busin. Standard BlueHDi,https://www.coches.net/peugeot-rifter-active-pack-busin-standard-bluehdi-73kw-5p-diesel-2021-en-madrid-62507315-covo.aspx,AutosMadriD Leganés,True,2026-02-23,2026-02-23
2026-01-28T12:05:36Z,Híbrido,Madrid,TOYOTA,Rav4,26490,123011,TOYOTA Rav4 2.5l 220H Business 4WD,https://www.coches.net/toyota-rav4-25l-220h-business-4wd-5p-electrico-hibrido-2020-en-madrid-62507635-covo.aspx,AutosMadriD Leganés,True,2026-02-23,2026-02-23
2026-01-28T12:08:23Z,Diésel,Madrid,VOLKSWAGEN,Touran,16490,133229,VOLKSWAGEN Touran Edition 1.6 TDI,https://www.coches.net/volkswagen-touran-edition-16-tdi-85kw-115cv-5p-diesel-2018-en-madrid-62507665-covo.aspx,AutosMadriD Leganés,True,2026-02-23,2026-02-23
2026-01-28T12:11:03Z,Diésel,Madrid,SEAT,Ateca,18990,86564,SEAT Ateca 1.6 TDI StSp Style Eco,https://www.coches.net/seat-ateca-16-tdi-85kw-115cv-stsp-style-eco-5p-diesel-2020-en-madrid-62507685-covo.aspx,AutosMadriD Leganés,True,2026-02-23,2026-02-23
2026-01-29T11:48:25Z,Gasolina,Madrid,SEAT,Ibiza,20990,34620,SEAT Ibiza 1.0 TSI DSG FR 40 Aniversario,https://www.coches.net/seat-ibiza-10-tsi-85kw-dsg-fr-40-aniversario-5p-gasolina-2025-en-madrid-62515438-covo.aspx,Gil Automoción MAZDA / DAS WELTAUTO,True,2026-02-23,2026-02-23
2026-01-29T14:31:14Z,Híbrido enchufable,Madrid,MAZDA,CX-60,35990,12781,MAZDA CX-60 eSkyactiv PHEV AWD ExclusiveLine,https://www.coches.net/mazda-cx-60-eskyactiv-phev-awd-exclusiveline-5p-electrico-hibrido-2022-en-madrid-62517472-covo.aspx,Mogacar Mazda Concesionario Oficial,True,2026-02-23,2026-02-23
2026-01-29T14:38:18Z,Híbrido,Madrid,FORD,Mondeo,17490,117180,FORD Mondeo 2.0 Hibrido 138kW187CV Titanium HEV AT,https://www.coches.net/ford-mondeo-20-hibrido-138kw187cv-titanium-hev-at-4p-electrico-hibrido-2020-en-madrid-62517507-covo.aspx,AutosMadriD Leganés,True,2026-02-23,2026-02-23
2026-01-29T14:42:54Z,Gasolina,Madrid,MAZDA,CX-5,24500,46351,MAZDA CX-5 2.0 GE Evolution No BSM,https://www.coches.net/mazda-cx-5-20-ge-121kw-165cv-evolution-no-bsm-5p-gasolina-2022-en-madrid-62517539-covo.aspx,Mogacar Mazda Concesionario Oficial,True,2026-02-23,2026-02-23
2026-01-30T10:24:47Z,Diésel,Madrid,BMW,Serie 3,30900,176000,BMW Serie 3 330d xDrive,https://www.coches.net/bmw-serie-3-330d-xdrive-4p-diesel-2019-en-madrid-62522976-covo.aspx,Auto Sport Moraleja,True,2026-02-23,2026-02-23
2026-01-31T16:16:22Z,Diésel,Madrid,SEAT,León,7470,269000,SEAT León 1.6 TDI Style,https://www.coches.net/seat-leon-16-tdi-105cv-style-5p-diesel-2013-en-madrid-62533296-covo.aspx,AutoPrime,True,2026-02-23,2026-02-23
2026-02-02T10:41:04Z,Diésel,Madrid,BMW,Serie 3,27900,100600,BMW Serie 3 320d xDrive Automatica Touring,https://www.coches.net/bmw-serie-3-320d-xdrive-automatica-touring-5p-diesel-2020-en-madrid-62543650-covo.aspx,Auto Sport Moraleja,True,2026-02-23,2026-02-23
2026-02-03T11:31:39Z,Diésel,Madrid,VOLKSWAGEN,Polo,11400,143900,VOLKSWAGEN Polo Edition 1.6 TDI,https://www.coches.net/volkswagen-polo-edition-16-tdi-59kw-80cv-5p-diesel-2018-en-madrid-62552546-covo.aspx,Auto Sport Moraleja,True,2026-02-23,2026-02-23
2026-02-03T23:53:11Z,Diésel,Alicante,KIA,cee'd,12800,76000,KIA cee'd 1.4 CRDi WGT xTech17,https://www.coches.net/kia-ceed-14-crdi-wgt-66kw-90cv-xtech17-5p-diesel-2017-en-alicante-62559678-covo.aspx,GAS MOTOR GALLERY,True,2026-02-23,2026-02-23
2026-02-04T10:56:52Z,Híbrido,Madrid,MAZDA,Mazda3,30900,6176,MAZDA Mazda3 2.0L ESKY X MHEV 6AT Homura,https://www.coches.net/km-0/mazda/mazda3/madrid/20l-esky-x-mhev-137kw-6at-homura-electrico-hibrido-de-km0-62561352-kovn.aspx,Mogacar Mazda Concesionario Oficial,True,2026-02-23,2026-02-23
2026-02-04T11:36:54Z,Híbrido,Madrid,MAZDA,CX-30,32900,8998,MAZDA CX-30 eSKYACTIV X MHEV 6AT Homura,https://www.coches.net/km-0/mazda/cx-30/madrid/eskyactiv-x-mhev-6at-homura-electrico-hibrido-de-km0-62561844-kovn.aspx,Mogacar Mazda Concesionario Oficial,True,2026-02-23,2026-02-23
2026-02-04T12:54:53Z,Híbrido,Madrid,MAZDA,Mazda3,29500,7068,MAZDA Mazda3 2.5L ESKY G MHEV 6AT Exclline,https://www.coches.net/km-0/mazda/mazda3/madrid/25l-esky-g-mhev-103kw-6at-exclline-electrico-hibrido-de-km0-62562932-kovn.aspx,Mogacar Mazda Concesionario Oficial,True,2026-02-23,2026-02-23
2026-02-04T14:24:44Z,Diésel,Madrid,SEAT,León,5970,289000,SEAT León 1.6 TDI EEcomotive Style,https://www.coches.net/seat-leon-16-tdi-105cv-eecomotive-style-5p-diesel-2013-en-madrid-62563914-covo.aspx,AutoPrime,True,2026-02-23,2026-02-23
2026-02-04T16:15:53Z,Gasolina,Madrid,PEUGEOT,3008,13490,128094,PEUGEOT 3008 1.2 PURETECH ALLURE SS,https://www.coches.net/peugeot-3008-12-puretech-96kw-130cv-allure-ss-5p-gasolina-2018-en-madrid-62564725-covo.aspx,Autos Madrid Aranjuez,True,2026-02-23,2026-02-23
2026-02-04T19:36:03Z,Gasolina,Madrid,SEAT,León,10970,112000,SEAT León 1.2 TSI StSp Style,https://www.coches.net/seat-leon-12-tsi-110cv-stsp-style-5p-gasolina-2015-en-madrid-62567067-covo.aspx,AutoPrime,True,2026-02-23,2026-02-23
2026-02-05T10:41:45Z,Híbrido enchufable,Madrid,MINI,COUNTRYMAN,23900,117000,MINI COUNTRYMAN Cooper S E ALL4,https://www.coches.net/mini-countryman-cooper-s-e-all4-5p-electrico-hibrido-2021-en-madrid-62570457-covo.aspx,Auto Sport Moraleja,True,2026-02-23,2026-02-23
2026-02-05T10:46:51Z,Diésel,Madrid,OPEL,Astra,19490,57169,OPEL Astra 1.5D DTH Elegance Auto,https://www.coches.net/opel-astra-15d-dth-96kw-130cv-elegance-auto-5p-diesel-2023-en-madrid-62570507-covo.aspx,Autos Madrid Aranjuez,True,2026-02-23,2026-02-23
2026-02-06T20:02:11Z,Híbrido enchufable,Madrid,MAZDA,CX-60,39900,49517,MAZDA CX-60 eSkyactiv PHEV AWD Homura,https://www.coches.net/mazda-cx-60-eskyactiv-phev-awd-homura-5p-electrico-hibrido-2022-en-madrid-62585622-covo.aspx,Mogacar Mazda Concesionario Oficial,True,2026-02-23,2026-02-23
2026-02-08T18:39:56Z,Híbrido enchufable,Madrid,VOLVO,XC90,69900,32125,VOLVO XC90 2.0 T8 AWD Core Recharge Auto,https://www.coches.net/volvo-xc90-20-t8-awd-core-recharge-auto-5p-electrico-hibrido-2026-en-madrid-62594972-covo.aspx,Volvo Ocasión Ditevo Madrid,True,2026-02-23,2026-02-23
